"date","0-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75-79","80+"
2001-01-01,8,3,3,3,4,5,7,8,10,16,27,41,58,83,175,251,487
2001-01-08,9,3,3,4,5,5,7,9,11,18,30,45,65,94,197,284,554
2001-01-15,19,6,6,7,9,11,14,19,22,37,63,95,137,199,421,611,1198
2001-01-22,14,4,4,5,7,8,10,14,16,27,46,71,103,150,320,468,923
2001-01-29,21,6,7,8,10,12,16,21,25,43,73,112,163,239,512,751,1489
2001-02-05,30,9,10,11,15,17,23,30,36,61,104,160,233,340,729,1071,2122
2001-02-12,6,2,2,2,3,4,5,6,7,13,22,33,48,71,151,222,440
2001-02-19,18,5,6,7,9,10,14,18,22,37,62,96,139,203,436,640,1268
2001-02-26,23,6,7,8,11,13,17,23,27,45,77,118,172,251,539,791,1569
2001-03-05,10,3,3,4,5,6,8,10,12,21,36,55,79,116,248,364,723
2001-03-12,9,3,3,4,5,5,7,9,11,19,32,49,71,103,221,325,645
2001-03-19,15,4,5,6,7,9,12,15,18,31,52,80,116,169,363,533,1056
2001-03-26,24,7,8,9,12,14,18,24,28,48,81,124,180,262,562,824,1634
2001-04-02,16,5,5,6,8,9,12,16,19,32,54,82,120,175,374,548,1087
2001-04-09,9,3,3,4,5,5,7,9,11,19,31,48,70,102,218,320,633
2001-04-16,15,4,5,6,7,9,11,15,18,29,50,76,111,161,345,506,1002
2001-04-23,12,4,4,5,6,7,9,12,14,24,41,62,90,131,280,410,812
2001-04-30,17,5,5,6,8,10,13,17,20,33,56,86,124,181,387,567,1122
2001-05-07,20,6,7,8,10,12,15,20,24,40,67,103,148,216,461,675,1335
2001-05-14,8,2,3,3,4,5,6,8,10,16,27,41,59,86,184,270,533
2001-05-21,18,6,6,7,9,11,14,18,22,36,61,93,135,196,417,610,1206
2001-05-28,10,3,3,4,5,6,7,10,12,19,33,50,72,104,221,324,639
2001-06-04,12,4,4,5,6,7,9,12,14,24,40,61,87,127,269,394,777
2001-06-11,23,7,8,9,11,13,17,23,27,45,75,114,164,238,506,739,1458
2001-06-18,26,8,9,10,13,15,20,26,30,51,85,129,186,269,572,835,1647
2001-06-25,18,6,6,7,9,11,14,18,21,36,60,92,132,191,405,592,1168
2001-07-02,14,4,5,5,7,8,11,14,16,28,46,70,101,147,312,456,901
2001-07-09,12,4,4,5,6,7,9,12,14,24,41,62,89,130,277,406,804
2001-07-16,14,4,4,5,7,8,11,14,17,28,48,73,106,155,334,493,982
2001-07-23,12,3,4,4,6,7,9,12,14,24,40,62,90,132,284,420,838
2001-07-30,10,3,3,4,5,6,8,10,12,20,34,52,75,109,233,342,677
2001-08-06,22,7,7,8,11,13,17,22,25,42,71,107,154,223,474,692,1366
2001-08-13,16,5,5,6,8,9,12,16,19,31,52,78,112,162,343,499,984
2001-08-20,11,3,4,4,6,7,8,11,13,21,36,54,78,112,237,346,680
2001-08-27,8,2,3,3,4,5,6,8,9,15,25,38,54,78,164,239,470
2001-09-03,8,2,3,3,4,5,6,8,9,15,25,38,54,78,166,241,475
2001-09-10,25,8,9,10,13,15,19,25,29,48,80,120,171,247,522,759,1491
2001-09-17,18,6,6,7,9,11,14,18,21,35,58,87,124,179,377,549,1078
2001-09-24,9,3,3,4,4,5,7,9,10,17,28,43,61,87,184,268,525
2001-10-01,10,3,3,4,5,6,8,10,12,19,32,48,68,98,206,299,586
2001-10-08,12,4,4,5,6,7,9,12,13,22,37,55,79,113,238,346,678
2001-10-15,22,7,8,9,11,13,17,22,25,42,70,105,149,214,449,652,1276
2001-10-22,10,3,3,4,5,6,8,10,11,19,31,47,67,96,201,291,569
2001-10-29,14,4,5,6,7,8,10,14,16,26,43,64,92,131,275,399,780
2001-11-05,4,1,2,2,2,3,3,4,5,8,13,20,29,41,86,124,243
2001-11-12,12,4,4,5,6,7,9,12,14,23,39,58,82,117,246,355,695
2001-11-19,7,2,3,3,4,4,5,7,8,13,22,33,47,67,141,205,400
2001-11-26,18,6,6,7,9,10,14,18,20,33,55,83,118,168,353,511,1000
2001-12-03,21,7,7,8,11,12,16,21,24,39,65,97,138,198,415,602,1178
2001-12-10,9,3,3,4,4,5,7,9,10,17,28,41,59,84,177,257,505
2001-12-17,14,5,5,6,7,8,11,14,17,27,45,68,97,139,294,427,839
2001-12-24,15,5,5,6,8,9,12,15,17,29,48,73,104,149,315,460,905
2001-12-31,11,4,4,5,6,7,9,11,13,22,37,56,80,116,245,359,710
2002-01-07,35,10,12,13,17,20,26,35,41,68,114,173,248,361,768,1129,2243
2002-01-14,6,2,2,2,3,3,4,6,7,11,19,30,43,63,134,198,396
2002-01-21,7,2,2,2,3,4,5,7,8,13,22,35,50,74,160,238,480
2002-01-28,21,6,6,8,10,12,16,21,25,43,74,115,168,248,537,805,1627
2002-02-04,10,3,3,4,5,6,8,10,12,21,35,54,79,117,254,380,769
2002-02-11,22,6,7,8,10,12,16,22,26,44,74,115,168,248,538,806,1629
2002-02-18,16,4,5,6,8,9,12,16,20,33,57,88,128,190,411,615,1243
2002-02-25,14,4,4,5,7,8,10,14,17,28,48,74,108,160,346,518,1048
2002-03-04,14,4,4,5,7,8,11,14,17,29,49,75,110,162,351,525,1063
2002-03-11,17,5,5,6,8,10,13,17,21,35,59,91,133,197,426,639,1292
2002-03-18,12,3,4,4,6,7,9,12,14,24,41,63,92,136,295,442,894
2002-03-25,7,2,2,2,3,4,5,7,8,13,23,35,51,75,162,243,492
2002-04-01,18,5,6,7,9,10,14,18,22,37,62,96,140,206,445,667,1348
2002-04-08,15,4,5,5,7,8,11,15,17,29,50,77,112,165,356,533,1077
2002-04-15,18,5,6,7,9,10,14,18,22,37,63,96,140,207,447,668,1351
2002-04-22,10,3,3,4,5,6,8,10,12,21,35,54,79,116,251,375,758
2002-04-29,14,4,4,5,7,8,10,14,16,28,47,72,105,155,334,499,1008
2002-05-06,9,2,3,3,4,5,6,9,10,17,29,44,65,95,205,306,617
2002-05-13,10,3,3,4,5,6,8,10,12,20,35,53,77,113,244,365,736
2002-05-20,8,2,2,3,4,5,6,8,9,16,27,41,59,87,187,279,562
2002-05-27,11,3,3,4,5,6,8,11,12,21,35,54,79,115,248,370,745
2002-06-03,12,4,4,5,6,7,9,12,15,25,42,63,92,135,290,432,870
2002-06-10,24,7,8,9,12,14,18,24,28,47,80,122,176,258,555,826,1663
2002-06-17,18,5,6,7,9,10,14,18,22,36,61,93,135,198,424,631,1270
2002-06-24,13,4,4,5,7,8,10,13,16,27,45,68,99,145,310,462,930
2002-07-01,12,4,4,5,6,7,9,12,15,24,41,63,91,133,285,425,856
2002-07-08,8,2,2,3,4,4,6,8,9,15,26,39,57,83,180,268,541
2002-07-15,20,5,6,7,9,11,15,20,23,40,67,104,151,224,485,729,1480
2002-07-22,17,4,5,6,8,9,13,17,20,34,59,91,133,198,431,651,1326
2002-07-29,8,2,3,3,4,5,6,8,10,17,28,43,62,91,197,294,595
2002-08-05,10,3,3,4,5,6,8,10,12,20,34,52,75,110,237,353,710
2002-08-12,7,2,2,3,4,4,5,7,8,14,24,36,52,76,163,242,486
2002-08-19,41,12,13,16,20,23,31,41,48,80,134,202,291,426,909,1351,2711
2002-08-26,14,4,5,5,7,8,11,14,17,28,46,70,101,148,316,469,940
2002-09-02,5,2,2,2,3,3,4,5,6,10,17,26,37,54,115,171,343
2002-09-09,3,1,1,1,2,2,2,3,4,6,10,15,22,31,67,99,199
